group,n,false_positive_rate,avg_p_misogynistic
all_neutral_counterexamples,100,0.13,0.1399170350964414
gender_term:female,8,0.0,0.03928422121680342
gender_term:feminism,8,0.125,0.15345520453411154
gender_term:feminist,7,0.2857142857142857,0.29962445898646756
gender_term:gender,3,0.0,0.008496062131598592
gender_term:girl,1,0.0,0.0009804043220356107
gender_term:girls,12,0.3333333333333333,0.3212760692113079
gender_term:her,21,0.047619047619047616,0.03311465720235858
gender_term:she,20,0.0,0.0324895705038216
gender_term:their,2,0.0,0.2629777118563652
gender_term:woman,6,0.3333333333333333,0.22875379749651378
gender_term:women,26,0.15384615384615385,0.18722310627344996
